,,,,,,,,PRE-CP,,,,,,,,POST-CP,,,,,,IMPROVEMENT,,
Group,Method,Backbone,Dataset,NUM_DATA,model_size,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,knn_f1_improvement_mean,lp_f1_improvement_mean,ft_f1_improvement
,LeJEPA-CP,DINOv3,OrganAMNIST,25000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-organamnist,haodong,0.8754,0.0025,0.8310,0.0011,0.9232,0.0072,,haodong,0.882403,0.008377,0.837572,0.013996,0.884356,0.003987,0.0070,0.0066,-0.0388
,LeJEPA-CP,DINOv3,OrganAMNIST,MAX (34561),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-organamnist,haodong,0.8779,0.0000,0.8325,0.0026,0.9416,0.0041,,haodong,0.888295,0.003642,0.845521,0.007749,0.910348,0.000350,0.0104,0.0130,-0.0313
,LeJEPA-CP,MAE,OrganAMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-organamnist,haodong,0.7270,0.0126,0.5888,0.0182,0.8305,0.0057,,haodong,0.773175,0.026234,0.727120,0.024378,0.815007,0.005398,0.0462,0.1383,-0.0155
,LeJEPA-CP,MAE,OrganAMNIST,MAX (34561),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-organamnist,haodong,0.8229,0.0000,0.6069,0.0093,0.9034,0.0038,,haodong,0.891655,0.002161,0.872220,0.006521,0.910042,0.001674,0.0688,0.2653,0.0066
,LeJEPA-CP,CLIP,OrganAMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-organamnist,haodong,0.6818,0.0010,0.5531,0.0353,0.8187,0.0055,,haodong,0.705652,0.003195,0.666653,0.026883,0.770364,0.004466,0.0239,0.1136,-0.0483
,LeJEPA-CP,CLIP,OrganAMNIST,MAX (34561),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-organamnist,haodong,0.7975,0.0000,0.6371,0.0052,0.8878,0.0039,,haodong,0.869678,0.001505,0.841594,0.008168,0.922032,0.009231,0.0722,0.2045,0.0342
,LeJEPA-CP,DINOv3,PathMNIST,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-pathmnist,haodong,0.6509,0.0697,0.7634,0.0359,0.8757,0.0232,,haodong,0.650940,0.069660,0.797597,0.028762,0.872365,0.015951,0.0000,0.0342,-0.0033
,LeJEPA-CP,DINOv3,PathMNIST,500,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-pathmnist,haodong,0.7928,0.0148,0.8557,0.0054,0.9304,0.0110,,haodong,0.874909,0.019213,0.896340,0.005266,0.911304,0.005459,0.0821,0.0406,-0.0191
,LeJEPA-CP,DINOv3,PathMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-pathmnist,haodong,0.8154,0.0050,0.8648,0.0116,0.9334,0.0061,,haodong,0.902394,0.006082,0.896750,0.009839,0.920234,0.002959,0.0870,0.0320,-0.0132
,LeJEPA-CP,DINOv3,PathMNIST,10000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-pathmnist,haodong,0.8702,0.0006,0.8940,0.0026,0.9502,0.0101,,haodong,0.916776,0.003096,0.907882,0.004424,0.934091,0.001510,0.0466,0.0139,-0.0161
,LeJEPA-CP,DINOv3,PathMNIST,25000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-pathmnist,haodong,0.8757,0.0004,0.8950,0.0020,0.9510,0.0042,,haodong,0.891986,0.006447,0.897518,0.0085,0.95155,0.005121,0.0163,0.0025,0.0005
,LeJEPA-CP,DINOv3,PathMNIST,MAX (89996),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-pathmnist,haodong,0.8840,0.0000,0.9036,0.0007,0.9488,0.0085,,haodong,0.885572,0.025901,0.892841,0.017768,0.950104,0.003906,0.0016,-0.0108,0.0013
,LeJEPA-CP,MAE,PathMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-pathmnist,haodong,0.7183,0.0102,0.8440,0.0134,0.9277,0.0067,,haodong,0.814414,0.003148,0.866688,0.024068,0.912915,0.019655,0.0961,0.0227,-0.0148
,LeJEPA-CP,MAE,PathMNIST,MAX (89996),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-pathmnist,haodong,0.8374,0.0000,0.8865,0.0027,0.9415,0.0026,,haodong,0.887606,0.004445,0.8964,0.007181,0.947233,0.001158,0.0502,0.0099,0.0058
,LeJEPA-CP,CLIP,PathMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-pathmnist,haodong,0.6999,0.0147,0.8151,0.0119,0.9255,0.0092,,haodong,0.855459,0.010426,0.879079,0.008818,0.913423,0.006540,0.1556,0.0640,-0.0121
,LeJEPA-CP,CLIP,PathMNIST,MAX (89996),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-pathmnist,haodong,0.8002,0.0000,0.8841,0.0019,0.9379,0.0030,,haodong,0.895756,0.009647,0.904680,0.009174,0.946719,0.001938,0.0956,0.0206,0.0088
,LeJEPA-CP,DINOv3,Galaxy10,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-galaxy10,haodong,0.3428,0.0348,0.3579,0.0339,0.5525,0.0290,,haodong,0.342774,0.034779,0.367472,0.019422,0.521264,0.009176,0.0000,0.0096,-0.0312
