,,,,,,,,PRE-CP,,,,,,,,POST-CP,,,,,,IMPROVEMENT,,
Group,Method,Backbone,Dataset,NUM_DATA,model_size,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,knn_f1_improvement_mean,lp_f1_improvement_mean,ft_f1_improvement
,LeJEPA-CP,DINOv3,Galaxy10,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-galaxy10,haodong,0.4652,0.0125,0.5612,0.0107,0.7145,0.0129,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,Galaxy10,10000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-galaxy10,haodong,0.5450,0.0062,0.6058,0.0187,0.7994,0.0047,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,Galaxy10,MAX (14188),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-galaxy10,haodong,0.5625,0.0137,0.6122,0.0098,0.8016,0.0130,,haodong,,,,,,,,,
,LeJEPA-CP,MAE,Galaxy10,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-galaxy10,haodong,0.2518,0.0125,0.3265,0.0047,0.7058,0.0028,,haodong,,,,,,,,,
,LeJEPA-CP,MAE,Galaxy10,MAX (14188),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-galaxy10,haodong,0.3415,0.0128,0.3587,0.0053,0.8133,0.0043,,haodong,,,,,,,,,
,LeJEPA-CP,CLIP,Galaxy10,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-galaxy10,haodong,0.3707,0.0123,0.3853,0.0331,0.6649,0.0057,,haodong,,,,,,,,,
,LeJEPA-CP,CLIP,Galaxy10,MAX (14188),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-galaxy10,haodong,0.4428,0.0176,0.4569,0.0217,0.8074,0.0075,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,Food101,101,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-diet-dinov3-food101?nw=nwuserhaodoz0118,haodong,0.5525,0.0227,0.4754,0.0081,0.2965,0.0058,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,Food101,500,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-diet-dinov3-food101?nw=nwuserhaodoz0118,haodong,0.7098,0.0093,0.7803,0.0069,0.6546,0.0016,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,Food101,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-diet-dinov3-food101?nw=nwuserhaodoz0118,haodong,0.7734,0.0049,0.8379,0.0034,0.7359,0.0072,,haodong,,,,,,,,,
