run_id,group,cookbook_row,num_trained_blocks,backbone,dataset,n_samples,model_size,run,pre_knn_f1,pre_knn_f1_std,pre_linear_f1,pre_linear_f1_std,post_knn_f1,post_knn_f1_std,post_linear_f1,post_linear_f1_std,post_sft_f1,post_sft_f1_std
random_food101_scratch_n500,random,327,2,SCRATCH,Food101,500,ViT-B,42,,,,,0.019727,,0.025317,,0.044911,
random_food101_scratch_n500,random,327,2,SCRATCH,Food101,500,ViT-B,43,,,,,0.022093,,0.022669,,0.045193,
random_food101_scratch_n500,random,327,2,SCRATCH,Food101,500,ViT-B,44,,,,,0.018823,,0.020673,,0.041656,
random_food101_scratch_n500,random,327,2,SCRATCH,Food101,500,ViT-B,average,,,,,0.020214,0.001689,0.022886,0.002330,0.043920,0.001966
random_food101_scratch_n1000,random,328,2,SCRATCH,Food101,1000,ViT-B,42,,,,,0.028021,,0.030007,,0.069909,
random_food101_scratch_n1000,random,328,2,SCRATCH,Food101,1000,ViT-B,43,,,,,0.025556,,0.032585,,0.067755,
random_food101_scratch_n1000,random,328,2,SCRATCH,Food101,1000,ViT-B,44,,,,,0.024286,,0.028143,,0.064249,
random_food101_scratch_n1000,random,328,2,SCRATCH,Food101,1000,ViT-B,average,,,,,0.025954,0.001899,0.030245,0.002231,0.067304,0.002857
random_food101_scratch_n10000,random,329,4,SCRATCH,Food101,10000,ViT-B,42,,,,,0.086813,,0.129611,,0.262333,
random_food101_scratch_n10000,random,329,4,SCRATCH,Food101,10000,ViT-B,43,,,,,0.085895,,0.125070,,0.269531,
random_food101_scratch_n10000,random,329,4,SCRATCH,Food101,10000,ViT-B,44,,,,,0.082004,,0.114851,,0.264123,
random_food101_scratch_n10000,random,329,4,SCRATCH,Food101,10000,ViT-B,average,,,,,0.084904,0.002553,0.123178,0.007560,0.265329,0.003747
random_food101_scratch_n25000,random,330,4,SCRATCH,Food101,25000,ViT-B,42,,,,,0.137668,,0.203238,,0.431308,
random_food101_scratch_n25000,random,330,4,SCRATCH,Food101,25000,ViT-B,43,,,,,0.137833,,0.204298,,0.435770,
random_food101_scratch_n25000,random,330,4,SCRATCH,Food101,25000,ViT-B,44,,,,,0.139050,,0.205525,,0.434547,
random_food101_scratch_n25000,random,330,4,SCRATCH,Food101,25000,ViT-B,average,,,,,0.138184,0.000755,0.204353,0.001144,0.433875,0.002306
random_fgvc_aircraft_scratch_n100,random,332,2,SCRATCH,FGVC_Aircraft,100,ViT-B,42,,,,,0.009321,,0.011971,,0.018914,
random_fgvc_aircraft_scratch_n100,random,332,2,SCRATCH,FGVC_Aircraft,100,ViT-B,43,,,,,0.016049,,0.008675,,0.019511,
random_fgvc_aircraft_scratch_n100,random,332,2,SCRATCH,FGVC_Aircraft,100,ViT-B,44,,,,,0.016338,,0.014239,,0.019933,
random_fgvc_aircraft_scratch_n100,random,332,2,SCRATCH,FGVC_Aircraft,100,ViT-B,average,,,,,0.013903,0.003970,0.011628,0.002798,0.019453,0.000512
random_fgvc_aircraft_scratch_n500,random,333,2,SCRATCH,FGVC_Aircraft,500,ViT-B,42,,,,,0.020777,,0.018160,,0.037887,
random_fgvc_aircraft_scratch_n500,random,333,2,SCRATCH,FGVC_Aircraft,500,ViT-B,43,,,,,0.022368,,0.017658,,0.042228,
random_fgvc_aircraft_scratch_n500,random,333,2,SCRATCH,FGVC_Aircraft,500,ViT-B,44,,,,,0.024297,,0.017792,,0.042137,
random_fgvc_aircraft_scratch_n500,random,333,2,SCRATCH,FGVC_Aircraft,500,ViT-B,average,,,,,0.022480,0.001763,0.017870,0.000260,0.040751,0.002480
random_fgvc_aircraft_scratch_n1000,random,334,2,SCRATCH,FGVC_Aircraft,1000,ViT-B,42,,,,,0.025099,,0.023582,,0.052658,
random_fgvc_aircraft_scratch_n1000,random,334,2,SCRATCH,FGVC_Aircraft,1000,ViT-B,43,,,,,0.028859,,0.025555,,0.058963,
random_fgvc_aircraft_scratch_n1000,random,334,2,SCRATCH,FGVC_Aircraft,1000,ViT-B,44,,,,,0.028098,,0.024251,,0.058510,
random_fgvc_aircraft_scratch_n1000,random,334,2,SCRATCH,FGVC_Aircraft,1000,ViT-B,average,,,,,0.027352,0.001988,0.024463,0.001003,0.056710,0.003517
