run_id,group,cookbook_row,num_trained_blocks,backbone,dataset,n_samples,model_size,run,pre_knn_f1,pre_knn_f1_std,pre_linear_f1,pre_linear_f1_std,post_knn_f1,post_knn_f1_std,post_linear_f1,post_linear_f1_std,post_sft_f1,post_sft_f1_std
pretrained_galaxy10_dinov3_n100,pretrained,48,2,DINOv3,Galaxy10,100,ViT-B,43,,,,,0.342072,,0.388571,,0.529229,
pretrained_galaxy10_dinov3_n100,pretrained,48,2,DINOv3,Galaxy10,100,ViT-B,44,,,,,0.308350,,0.350338,,0.511230,
pretrained_galaxy10_dinov3_n100,pretrained,48,2,DINOv3,Galaxy10,100,ViT-B,average,,,,,0.342774,0.034779,0.367472,0.019422,0.521264,0.009176
pretrained_galaxy10_dinov3_n500,pretrained,49,2,DINOv3,Galaxy10,500,ViT-B,42,,,,,0.474370,,0.565554,,0.642737,
pretrained_galaxy10_dinov3_n500,pretrained,49,2,DINOv3,Galaxy10,500,ViT-B,43,,,,,0.451640,,0.541918,,0.637287,
pretrained_galaxy10_dinov3_n500,pretrained,49,2,DINOv3,Galaxy10,500,ViT-B,44,,,,,0.423189,,0.561134,,0.665450,
pretrained_galaxy10_dinov3_n500,pretrained,49,2,DINOv3,Galaxy10,500,ViT-B,average,,,,,0.449733,0.025644,0.556202,0.012566,0.648491,0.014937
pretrained_galaxy10_dinov3_n1000,pretrained,50,2,DINOv3,Galaxy10,1000,ViT-B,42,,,,,0.493855,,0.630635,,0.680154,
pretrained_galaxy10_dinov3_n1000,pretrained,50,2,DINOv3,Galaxy10,1000,ViT-B,43,,,,,0.494464,,0.600394,,0.682238,
pretrained_galaxy10_dinov3_n1000,pretrained,50,2,DINOv3,Galaxy10,1000,ViT-B,44,,,,,0.468999,,0.614078,,0.711212,
pretrained_galaxy10_dinov3_n1000,pretrained,50,2,DINOv3,Galaxy10,1000,ViT-B,average,,,,,0.485773,0.014530,0.615035,0.015143,0.691201,0.017361
pretrained_galaxy10_dinov3_n10000,pretrained,51,4,DINOv3,Galaxy10,10000,ViT-B,42,,,,,0.641882,,0.724839,,0.800089,
pretrained_galaxy10_dinov3_n10000,pretrained,51,4,DINOv3,Galaxy10,10000,ViT-B,43,,,,,0.631115,,0.716643,,0.780460,
pretrained_galaxy10_dinov3_n10000,pretrained,51,4,DINOv3,Galaxy10,10000,ViT-B,44,,,,,0.637120,,0.738427,,0.800343,
pretrained_galaxy10_dinov3_n10000,pretrained,51,4,DINOv3,Galaxy10,10000,ViT-B,average,,,,,0.636706,0.005396,0.726636,0.011003,0.793630,0.011407
pretrained_galaxy10_dinov3_n14188,pretrained,52,4,DINOv3,Galaxy10,14188,ViT-B,42,,,,,0.654710,,0.734311,,0.792290,
pretrained_galaxy10_dinov3_n14188,pretrained,52,4,DINOv3,Galaxy10,14188,ViT-B,43,,,,,0.645779,,0.729421,,0.795672,
