run_id,group,backbone_tag,backbone_timm,dataset,display_name,model_size,n_samples,num_trained_blocks,pool_strategy,random_init,project,cookbook_row
pretrained_galaxy10_clip_n1000,pretrained,CLIP,vit_base_patch16_clip_224.openai,galaxy10,Galaxy10,ViT-B,1000,2,cls,no,lejepa-cp-clip-galaxy10,55
pretrained_galaxy10_clip_n14188,pretrained,CLIP,vit_base_patch16_clip_224.openai,galaxy10,Galaxy10,ViT-B,14188,4,cls,no,lejepa-cp-clip-galaxy10,56
pretrained_food101_dinov3_n101,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,food101,Food101,ViT-B,101,2,cls,no,lejepa-cp-dinov3-food101,57
pretrained_food101_dinov3_n500,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,food101,Food101,ViT-B,500,2,cls,no,lejepa-cp-dinov3-food101,58
pretrained_food101_dinov3_n1000,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,food101,Food101,ViT-B,1000,2,cls,no,lejepa-cp-dinov3-food101,59
pretrained_food101_dinov3_n10000,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,food101,Food101,ViT-B,10000,4,cls,no,lejepa-cp-dinov3-food101,60
pretrained_food101_dinov3_n25000,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,food101,Food101,ViT-B,25000,4,cls,no,lejepa-cp-dinov3-food101,61
pretrained_food101_mae_n1000,pretrained,MAE,vit_base_patch16_224.mae,food101,Food101,ViT-B,1000,2,mean,no,lejepa-cp-mae-food101,63
pretrained_food101_mae_n75750,pretrained,MAE,vit_base_patch16_224.mae,food101,Food101,ViT-B,75750,-1,mean,no,lejepa-cp-mae-food101,64
pretrained_food101_clip_n1000,pretrained,CLIP,vit_base_patch16_clip_224.openai,food101,Food101,ViT-B,1000,2,cls,no,lejepa-cp-clip-food101,65
pretrained_food101_clip_n75750,pretrained,CLIP,vit_base_patch16_clip_224.openai,food101,Food101,ViT-B,75750,-1,cls,no,lejepa-cp-clip-food101,66
pretrained_fgvc_aircraft_dinov3_n100,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,fgvc_aircraft,FGVC_Aircraft,ViT-B,100,2,cls,no,lejepa-cp-dinov3-fgvc_aircraft,67
pretrained_fgvc_aircraft_dinov3_n500,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,fgvc_aircraft,FGVC_Aircraft,ViT-B,500,2,cls,no,lejepa-cp-dinov3-fgvc_aircraft,68
pretrained_fgvc_aircraft_dinov3_n1000,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,fgvc_aircraft,FGVC_Aircraft,ViT-B,1000,2,cls,no,lejepa-cp-dinov3-fgvc_aircraft,69
pretrained_fgvc_aircraft_dinov3_n3334,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,fgvc_aircraft,FGVC_Aircraft,ViT-B,3334,4,cls,no,lejepa-cp-dinov3-fgvc_aircraft,70
pretrained_fgvc_aircraft_mae_n1000,pretrained,MAE,vit_base_patch16_224.mae,fgvc_aircraft,FGVC_Aircraft,ViT-B,1000,2,mean,no,lejepa-cp-mae-fgvc_aircraft,71
pretrained_fgvc_aircraft_mae_n3334,pretrained,MAE,vit_base_patch16_224.mae,fgvc_aircraft,FGVC_Aircraft,ViT-B,3334,4,mean,no,lejepa-cp-mae-fgvc_aircraft,72
pretrained_fgvc_aircraft_clip_n1000,pretrained,CLIP,vit_base_patch16_clip_224.openai,fgvc_aircraft,FGVC_Aircraft,ViT-B,1000,2,cls,no,lejepa-cp-clip-fgvc_aircraft,73
pretrained_fgvc_aircraft_clip_n3334,pretrained,CLIP,vit_base_patch16_clip_224.openai,fgvc_aircraft,FGVC_Aircraft,ViT-B,3334,4,cls,no,lejepa-cp-clip-fgvc_aircraft,74
random_dermamnist_scratch_n100,random,SCRATCH,vit_base_patch16_224,dermamnist,DermaMNIST,ViT-B,100,2,cls,yes,lejepa-cp-rand-dermamnist,296
random_dermamnist_scratch_n500,random,SCRATCH,vit_base_patch16_224,dermamnist,DermaMNIST,ViT-B,500,2,cls,yes,lejepa-cp-rand-dermamnist,297
random_dermamnist_scratch_n1000,random,SCRATCH,vit_base_patch16_224,dermamnist,DermaMNIST,ViT-B,1000,2,cls,yes,lejepa-cp-rand-dermamnist,298
random_dermamnist_scratch_n7007,random,SCRATCH,vit_base_patch16_224,dermamnist,DermaMNIST,ViT-B,7007,4,cls,yes,lejepa-cp-rand-dermamnist,299
random_breastmnist_scratch_n100,random,SCRATCH,vit_base_patch16_224,breastmnist,BreastMNIST,ViT-B,100,2,cls,yes,lejepa-cp-rand-breastmnist,300
random_breastmnist_scratch_n500,random,SCRATCH,vit_base_patch16_224,breastmnist,BreastMNIST,ViT-B,500,2,cls,yes,lejepa-cp-rand-breastmnist,301
random_breastmnist_scratch_n546,random,SCRATCH,vit_base_patch16_224,breastmnist,BreastMNIST,ViT-B,546,2,cls,yes,lejepa-cp-rand-breastmnist,302
random_octmnist_scratch_n100,random,SCRATCH,vit_base_patch16_224,octmnist,OctMNIST,ViT-B,100,2,cls,yes,lejepa-cp-rand-octmnist,303
random_octmnist_scratch_n500,random,SCRATCH,vit_base_patch16_224,octmnist,OctMNIST,ViT-B,500,2,cls,yes,lejepa-cp-rand-octmnist,304
random_octmnist_scratch_n1000,random,SCRATCH,vit_base_patch16_224,octmnist,OctMNIST,ViT-B,1000,2,cls,yes,lejepa-cp-rand-octmnist,305
random_octmnist_scratch_n10000,random,SCRATCH,vit_base_patch16_224,octmnist,OctMNIST,ViT-B,10000,4,cls,yes,lejepa-cp-rand-octmnist,306
random_octmnist_scratch_n25000,random,SCRATCH,vit_base_patch16_224,octmnist,OctMNIST,ViT-B,25000,4,cls,yes,lejepa-cp-rand-octmnist,307
random_organamnist_scratch_n100,random,SCRATCH,vit_base_patch16_224,organamnist,OrganAMNIST,ViT-B,100,2,cls,yes,lejepa-cp-rand-organamnist,309
random_organamnist_scratch_n500,random,SCRATCH,vit_base_patch16_224,organamnist,OrganAMNIST,ViT-B,500,2,cls,yes,lejepa-cp-rand-organamnist,310
random_organamnist_scratch_n1000,random,SCRATCH,vit_base_patch16_224,organamnist,OrganAMNIST,ViT-B,1000,2,cls,yes,lejepa-cp-rand-organamnist,311
random_organamnist_scratch_n10000,random,SCRATCH,vit_base_patch16_224,organamnist,OrganAMNIST,ViT-B,10000,4,cls,yes,lejepa-cp-rand-organamnist,312
random_organamnist_scratch_n25000,random,SCRATCH,vit_base_patch16_224,organamnist,OrganAMNIST,ViT-B,25000,4,cls,yes,lejepa-cp-rand-organamnist,313
random_organamnist_scratch_n34561,random,SCRATCH,vit_base_patch16_224,organamnist,OrganAMNIST,ViT-B,34561,6,cls,yes,lejepa-cp-rand-organamnist,314
random_pathmnist_scratch_n100,random,SCRATCH,vit_base_patch16_224,pathmnist,PathMNIST,ViT-B,100,2,cls,yes,lejepa-cp-rand-pathmnist,315
random_pathmnist_scratch_n500,random,SCRATCH,vit_base_patch16_224,pathmnist,PathMNIST,ViT-B,500,2,cls,yes,lejepa-cp-rand-pathmnist,316
random_pathmnist_scratch_n1000,random,SCRATCH,vit_base_patch16_224,pathmnist,PathMNIST,ViT-B,1000,2,cls,yes,lejepa-cp-rand-pathmnist,317
random_pathmnist_scratch_n10000,random,SCRATCH,vit_base_patch16_224,pathmnist,PathMNIST,ViT-B,10000,4,cls,yes,lejepa-cp-rand-pathmnist,318
random_pathmnist_scratch_n25000,random,SCRATCH,vit_base_patch16_224,pathmnist,PathMNIST,ViT-B,25000,4,cls,yes,lejepa-cp-rand-pathmnist,319
random_galaxy10_scratch_n100,random,SCRATCH,vit_base_patch16_224,galaxy10,Galaxy10,ViT-B,100,2,cls,yes,lejepa-cp-rand-galaxy10,321
random_galaxy10_scratch_n500,random,SCRATCH,vit_base_patch16_224,galaxy10,Galaxy10,ViT-B,500,2,cls,yes,lejepa-cp-rand-galaxy10,322
random_galaxy10_scratch_n1000,random,SCRATCH,vit_base_patch16_224,galaxy10,Galaxy10,ViT-B,1000,2,cls,yes,lejepa-cp-rand-galaxy10,323
random_galaxy10_scratch_n10000,random,SCRATCH,vit_base_patch16_224,galaxy10,Galaxy10,ViT-B,10000,4,cls,yes,lejepa-cp-rand-galaxy10,324
random_galaxy10_scratch_n14188,random,SCRATCH,vit_base_patch16_224,galaxy10,Galaxy10,ViT-B,14188,4,cls,yes,lejepa-cp-rand-galaxy10,325
random_food101_scratch_n101,random,SCRATCH,vit_base_patch16_224,food101,Food101,ViT-B,101,2,cls,yes,lejepa-cp-rand-food101,326
random_food101_scratch_n500,random,SCRATCH,vit_base_patch16_224,food101,Food101,ViT-B,500,2,cls,yes,lejepa-cp-rand-food101,327
random_food101_scratch_n1000,random,SCRATCH,vit_base_patch16_224,food101,Food101,ViT-B,1000,2,cls,yes,lejepa-cp-rand-food101,328
random_food101_scratch_n10000,random,SCRATCH,vit_base_patch16_224,food101,Food101,ViT-B,10000,4,cls,yes,lejepa-cp-rand-food101,329
random_food101_scratch_n25000,random,SCRATCH,vit_base_patch16_224,food101,Food101,ViT-B,25000,4,cls,yes,lejepa-cp-rand-food101,330
random_fgvc_aircraft_scratch_n100,random,SCRATCH,vit_base_patch16_224,fgvc_aircraft,FGVC_Aircraft,ViT-B,100,2,cls,yes,lejepa-cp-rand-fgvc_aircraft,332
random_fgvc_aircraft_scratch_n500,random,SCRATCH,vit_base_patch16_224,fgvc_aircraft,FGVC_Aircraft,ViT-B,500,2,cls,yes,lejepa-cp-rand-fgvc_aircraft,333
random_fgvc_aircraft_scratch_n1000,random,SCRATCH,vit_base_patch16_224,fgvc_aircraft,FGVC_Aircraft,ViT-B,1000,2,cls,yes,lejepa-cp-rand-fgvc_aircraft,334
random_fgvc_aircraft_scratch_n3334,random,SCRATCH,vit_base_patch16_224,fgvc_aircraft,FGVC_Aircraft,ViT-B,3334,4,cls,yes,lejepa-cp-rand-fgvc_aircraft,335
